Engine_ID,RUL,Health_State,Flight_cycle_number,Cycle_Percentage,Cycle_Log,Cycle_Squared,Engine_Max_Cycle,HPC_outlet_temperature_R_cummax,LPC_outlet_temperature_R_cummax,Fan_stall_margin_cumsum,HPT_outlet_temperature_R_cumsum,LPC_stall_margin,LPC_outlet_temperature_R_cumsum,HPC_outlet_temperature_R_cumsum,HPT_outlet_temperature_R_rolling_max_10,Fan_stall_margin_rolling_max_5,HPT_outlet_temperature_R_rolling_max_5,Temp_Ratio_HPC_LPC,Fan_stall_margin_rolling_max_10,HPC_outlet_temperature_R_rolling_max_10,LPC_outlet_temperature_R_rolling_max_10,Press_Ratio_Fan,Fan_stall_margin_trend_2nd
98,7,0,160,0.22899768505654244,0.30468092592565305,0.46634846634846633,0.3939393939393939,-1.6112781954887236,-1.6302460202604812,-0.8028949132964136,-0.7975369016591666,-0.5951864700780652,-0.6460326904039518,-0.6458080716511262,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.03452735599232104,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.4083155945041873,0.0
76,12,0,198,0.923197160443885,0.49656013987204767,0.9696969696969697,-0.29292929292929293,-0.36992481203008193,-0.48625180897250786,-0.7996346039592012,-0.7910387638750692,0.15488580514599945,-0.6052143687680985,-0.6049247573044471,0.604395604395625,0.8421052631592804,0.7241379310344591,0.6386691019442923,0.7333333333359607,-0.7473309608541151,-0.9096573208722865,-0.6460619799297828,0.0
29,110,2,41,-0.5528981368636255,-0.9120921158402275,-0.41865541865541867,-0.31313131313131315,-1.6112781954887236,-1.6302460202604812,-0.8026823084986966,-0.797200694873858,-0.6349378433073226,-0.6404080252201455,-0.6402126854604849,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.560312290706858,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2197771818759853,0.0
112,376,2,2,-0.9299403969830475,-2.1198157098983583,-0.4807044807044807,0.898989898989899,-1.6112781954887236,-1.6302460202604812,-0.8028834710243142,-0.7976192095443666,-0.2585284764382824,-0.6459161681968435,-0.6457399502609049,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-1.4362342406808581,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2184502253061672,0.0
216,186,2,43,-0.5407310934595553,-0.8699675067490138,-0.41243941243941246,-0.2727272727272727,-1.6112781954887236,-1.6302460202604812,-0.8009148465648982,-0.7937618993311787,0.20475570974270152,-0.6206703483075889,-0.6204522421893586,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.05580287898551622,-2.033333333334142,-1.774021352313166,-1.7897196261682409,-0.5056257429574545,0.0
227,245,2,42,-0.6026856853881384,-0.8907848786951313,-0.4155844155844156,0.10101010101010101,0.0736842105263174,0.03473227206946602,-0.7996397714369234,-0.7911273494803269,0.289317721884932,-0.604858877288785,-0.604615590994981,-0.7912087912086251,-0.6315789473676653,-0.37068965517234453,0.28220289590233033,-1.1333333333365672,0.30249110320286093,0.2118380062305116,-0.7685843032095764,0.0
48,63,1,176,0.2819167920898004,0.3904743530867526,0.6652606652606653,0.5555555555555556,-0.1413533834586553,-0.1345875542691685,-0.7996384795674929,-0.7911071212712523,0.5826105810927976,-0.6049744120195619,-0.6047654580534679,-0.47252747252737504,-0.26315789473533047,-0.12068965517239352,0.019924630588411332,-0.6666666666676773,-0.2064056939501965,-0.15264797507788272,-0.6733751693251874,0.0
98,9,0,158,0.2143536907826839,0.29336183106221864,0.44281644281644283,0.3939393939393939,-0.354887218045116,-0.4081041968162011,-0.758819465722482,-0.7526595735405259,0.14693553050014535,-0.5915269593381933,-0.5912847589393604,0.4945054945055,0.6842105263161674,0.6379310344827215,0.3095112980193307,0.5333333333341418,-0.7117437722420067,-0.7414330218068438,-0.6532496613496253,0.0
87,159,2,100,-0.05983050240019236,-0.11754646502661173,-0.11085211085211086,-0.13131313131313133,-1.6112781954887236,-1.6302460202604812,-0.8026843385792303,-0.797190929531546,-0.6816276380456935,-0.6403359394479513,-0.6401141714500109,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.014143149647765514,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.1394963094020392,0.0
233,163,2,126,0.22022339096683388,0.0898769326077997,0.10656010656010656,-0.24242424242424243,-1.6112781954887236,-1.6302460202604812,-0.8028860547631754,-0.7975913085663326,-0.34511419485400713,-0.6460257780696318,-0.6457347101539648,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,1.9107471924167818,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2626821109667438,0.0
10,250,2,104,-0.2973725535649269,-0.08237638235818899,-0.08066008066008067,0.9494949494949495,-1.6112781954887236,-1.6302460202604812,-0.8026887678458495,-0.7972209230829325,-0.9528042786932719,-0.6406045330100993,-0.6403960892033884,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.2804180004686277,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2156857324523818,0.0
159,168,2,120,-0.008775880505062422,0.04605310027780269,0.05194805194805195,0.21212121212121213,-1.6112781954887236,-1.6302460202604812,-0.802688214187522,-0.7972083676428172,-0.896429603931785,-0.6406331698237108,-0.6404065694172686,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.11780775178891552,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2763939955215217,0.0
36,4,0,154,0.15624557292922625,0.2702901167977755,0.39664039664039663,0.47474747474747475,-0.4526315789473686,-0.4515195369030418,-0.799634788511977,-0.7910143505192895,0.150260190806586,-0.6051906693361443,-0.6049823984807882,0.989010989011,0.7894736842107782,1.0258620689654918,0.014066710653102903,0.6666666666676773,-0.9430604982206507,-0.8348909657320976,-0.6103447322588668,0.0
